2026-02-01 16:41:41 | INFO     | mini_noc | Database initialized
2026-02-01 16:41:41 | INFO     | mini_noc | Background monitoring started
2026-02-01 16:41:41 | INFO     | mini_noc | Monitoring loop started (interval: 60s)
2026-02-01 16:42:02 | INFO     | mini_noc | Shutting down Mini NOC
2026-02-01 16:42:02 | INFO     | mini_noc | Background monitoring stopped
2026-02-01 16:59:34 | INFO     | mini_noc | Starting Mini NOC - Network Monitoring System v1.0.0
2026-02-01 16:59:34 | INFO     | mini_noc | Database initialized
2026-02-01 16:59:34 | INFO     | mini_noc | Background monitoring started
2026-02-01 16:59:34 | INFO     | mini_noc | Monitoring loop started (interval: 60s)
2026-02-01 16:59:36 | INFO     | mini_noc | Starting Mini NOC - Network Monitoring System v1.0.0
2026-02-01 16:59:36 | INFO     | mini_noc | Starting Mini NOC - Network Monitoring System v1.0.0
2026-02-01 16:59:36 | INFO     | mini_noc | Starting Mini NOC - Network Monitoring System v1.0.0
2026-02-01 16:59:36 | INFO     | mini_noc | Starting Mini NOC - Network Monitoring System v1.0.0
2026-02-01 16:59:36 | INFO     | mini_noc | Database initialized
2026-02-01 16:59:36 | INFO     | mini_noc | Background monitoring started
2026-02-01 16:59:36 | INFO     | mini_noc | Monitoring loop started (interval: 60s)
2026-02-01 16:59:36 | INFO     | mini_noc | Database initialized
2026-02-01 16:59:36 | INFO     | mini_noc | Background monitoring started
2026-02-01 16:59:36 | INFO     | mini_noc | Database initialized
2026-02-01 16:59:36 | INFO     | mini_noc | Monitoring loop started (interval: 60s)
2026-02-01 16:59:36 | INFO     | mini_noc | Background monitoring started
2026-02-01 16:59:36 | INFO     | mini_noc | Monitoring loop started (interval: 60s)
2026-02-01 16:59:36 | INFO     | mini_noc | Database initialized
2026-02-01 16:59:36 | INFO     | mini_noc | Background monitoring started
2026-02-01 16:59:36 | INFO     | mini_noc | Monitoring loop started (interval: 60s)
2026-02-01 16:59:36 | INFO     | mini_noc | Starting Mini NOC - Network Monitoring System v1.0.0
2026-02-01 16:59:37 | INFO     | mini_noc | Database initialized
2026-02-01 16:59:37 | INFO     | mini_noc | Background monitoring started
2026-02-01 16:59:37 | INFO     | mini_noc | Monitoring loop started (interval: 60s)
2026-02-01 16:59:37 | INFO     | mini_noc | Starting Mini NOC - Network Monitoring System v1.0.0
2026-02-01 16:59:37 | INFO     | mini_noc | Database initialized
2026-02-01 16:59:37 | INFO     | mini_noc | Background monitoring started
2026-02-01 16:59:37 | INFO     | mini_noc | Monitoring loop started (interval: 60s)
2026-02-01 16:59:37 | INFO     | mini_noc | Starting Mini NOC - Network Monitoring System v1.0.0
2026-02-01 16:59:37 | INFO     | mini_noc | Database initialized
2026-02-01 16:59:37 | INFO     | mini_noc | Background monitoring started
2026-02-01 16:59:37 | INFO     | mini_noc | Monitoring loop started (interval: 60s)
2026-02-01 16:59:43 | INFO     | mini_noc | Starting Mini NOC - Network Monitoring System v1.0.0
2026-02-01 16:59:43 | INFO     | mini_noc | Database initialized
2026-02-01 16:59:43 | INFO     | mini_noc | Background monitoring started
2026-02-01 16:59:43 | INFO     | mini_noc | Monitoring loop started (interval: 60s)
