2026-01-31 17:26:19 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:26:19 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 3.38s
2026-01-31 17:26:38 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 17:26:38 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 17:26:39 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:26:39 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:26:42 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:26:42 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 3.14s
2026-01-31 17:26:48 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 17:26:48 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 17:26:48 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:26:48 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:26:51 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:26:51 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 3.26s
2026-01-31 17:27:51 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:27:51 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:27:55 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:27:55 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 3.29s
2026-01-31 17:28:17 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 17:28:17 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 17:28:17 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:28:17 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:28:21 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:28:21 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 3.51s
2026-01-31 17:29:16 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 17:29:16 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 17:29:17 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:29:17 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:29:20 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:29:20 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 3.17s
2026-01-31 17:29:35 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 17:29:35 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 17:29:35 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:29:35 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:29:39 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:29:39 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 3.34s
2026-01-31 17:30:39 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:30:39 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:30:42 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:30:42 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 3.46s
2026-01-31 17:31:42 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:31:42 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:31:46 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:31:46 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 3.48s
2026-01-31 17:31:56 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 17:31:56 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 17:31:57 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 17:31:57 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 17:31:57 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:31:57 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:32:01 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:32:01 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 3.34s
2026-01-31 17:33:01 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:33:01 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:33:04 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:33:04 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 3.36s
2026-01-31 17:34:04 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:34:04 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:34:07 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:34:07 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 1 alerts in 3.33s
2026-01-31 17:35:07 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:35:07 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:35:10 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:35:10 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 3.19s
2026-01-31 17:36:10 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:36:10 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:36:14 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:36:14 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 3.36s
2026-01-31 17:37:14 | INFO     | scanner | Starting health check on 4 devices
